time,Open,High,Low,Close,Volume
2002-12-31,0.5621,0.5621,0.5621,0.5621,2.0
2003-01-31,0.5634,0.5926,0.5634,0.587,26.0
2003-02-28,0.5869,0.6083,0.5847,0.6083,24.0
2003-03-31,0.6078,0.6166,0.5897,0.6045,27.0
2003-04-30,0.6022,0.6311,0.5989,0.6311,27.0
2003-05-31,0.6316,0.6604,0.6306,0.6507,27.0
2003-06-30,0.6579,0.67665,0.65665,0.67665,27.0
2003-07-31,0.68075,0.68135,0.6468,0.6516,27.0
2003-08-31,0.652,0.66065,0.63935,0.64575,27.0
2003-09-30,0.63665,0.68635,0.63665,0.68635,26.0
2003-10-31,0.6846,0.7079,0.6778,0.7079,26.0
2003-11-30,0.7075,0.7281,0.6985,0.7281,26.0
2003-12-31,0.73115,0.7505,0.73115,0.7505,29.0
2004-01-31,0.7586,0.779,0.7552,0.7647,52.0
2004-02-29,0.7582,0.7983,0.7582,0.7714,50.0
2004-03-31,0.7635,0.7681,0.7321,0.7681,54.0
2004-04-30,0.7571,0.7662,0.7209,0.7209,50.0
2004-05-31,0.7218,0.7328,0.6858,0.7076,54.0
2004-06-30,0.69605,0.7072,0.68205,0.7049,52.0
2004-07-31,0.7134,0.7322,0.69945,0.7039,52.0
2004-08-31,0.70345,0.72475,0.6997,0.70345,54.0
2004-09-30,0.69755,0.7277,0.6884,0.726,52.0
2004-10-31,0.7236,0.7486,0.7216,0.7468,48.0
2004-11-30,0.7474,0.79135,0.7474,0.777,52.0
2004-12-31,0.775,0.7825,0.7494,0.7825,52.0
2005-01-31,0.7823,0.7839,0.7505,0.774,399108.0
2005-02-28,0.774,0.7959,0.7613,0.78725,414655.0
2005-03-31,0.78725,0.7989,0.76695,0.7712,478946.0
2005-04-30,0.7712,0.7841,0.7626,0.7804,426897.0
2005-05-31,0.7804,0.7828,0.7476,0.7496,479360.0
2005-06-30,0.7497,0.781,0.7485,0.7519,564486.0
2005-07-31,0.7519,0.7689,0.7367,0.7618,553234.0
2005-08-31,0.7618,0.7756,0.7458,0.7626,583642.0
2005-09-30,0.7626,0.7769,0.7531,0.762,536895.0
2005-10-31,0.7615,0.7645,0.7439,0.7444,439599.0
2005-11-30,0.7444,0.7454,0.7262,0.742,476265.0
2005-12-31,0.742,0.7579,0.72345,0.7329,469733.0
2006-01-31,0.7315,0.7589,0.7315,0.7531,299253.0
2006-02-28,0.753,0.7556,0.7344,0.7448,121822.0
2006-03-31,0.7448,0.7486,0.70145,0.7165,160041.0
2006-04-30,0.7167,0.76375,0.7116,0.75995,141240.0
2006-05-31,0.75965,0.7793,0.744,0.7466,225579.0
2006-06-30,0.7465,0.7547,0.727,0.7429,192857.0
2006-07-31,0.7431,0.7678,0.74,0.76595,215697.0
2006-08-31,0.76595,0.7716,0.7552,0.767,224220.0
2006-09-30,0.7669,0.7721,0.7434,0.7452,192577.0
2006-10-31,0.7452,0.7767,0.7416,0.7749,188393.0
2006-11-30,0.7749,0.7926,0.7616,0.7889,181928.0
2006-12-31,0.789,0.793,0.7781,0.7893,160373.0
2007-01-31,0.7893,0.7979,0.7697,0.774,207279.0
2007-02-28,0.774,0.7947,0.7708,0.7846,183497.0
2007-03-31,0.7845,0.8127,0.7682,0.81,232118.0
2007-04-30,0.81,0.83925,0.80645,0.82743,270322.0
2007-05-31,0.82738,0.83525,0.8163,0.8331,313455.0
2007-06-30,0.83305,0.85218,0.83105,0.8491,247214.0
2007-07-31,0.8491,0.88719,0.84464,0.85589,280588.0
2007-08-31,0.85584,0.86625,0.76735,0.81853,395169.0
2007-09-30,0.81691,0.89493,0.8156,0.89429,317803.0
2007-10-31,0.89432,0.93482,0.87507,0.91233,454411.0
2007-11-30,0.91223,0.94006,0.86534,0.88444,593501.0
2007-12-31,0.88424,0.8908,0.85545,0.87611,379753.0
2008-01-31,0.87615,0.90471,0.85145,0.90425,614468.0
2008-02-29,0.90395,0.94978,0.88747,0.93088,502687.0
2008-03-31,0.93064,0.94725,0.89538,0.90718,570988.0
2008-04-30,0.90721,0.95423,0.90554,0.93351,596681.0
2008-05-31,0.9335,0.96547,0.92755,0.95443,480085.0
2008-06-30,0.95446,0.96677,0.93278,0.95509,509881.0
2008-07-31,0.95509,0.98503,0.92859,0.92912,548167.0
2008-08-31,0.92961,0.93465,0.8481,0.85038,599782.0
2008-09-30,0.85036,0.85342,0.78014,0.7874,809539.0
2008-10-31,0.7874,0.79438,0.60093,0.6677,957622.0
2008-11-30,0.66765,0.70146,0.60746,0.64015,1277997.0
2008-12-31,0.64015,0.71382,0.62904,0.70548,887235.0
2009-01-31,0.70545,0.72696,0.63408,0.63655,879396.0
2009-02-28,0.63655,0.68494,0.62488,0.6393,806481.0
2009-03-31,0.63936,0.7095,0.62857,0.69926,1076879.0
2009-04-30,0.69926,0.73847,0.69532,0.73066,1073629.0
2009-05-31,0.72987,0.81543,0.72987,0.81008,1216034.0
2009-06-30,0.81008,0.82648,0.77898,0.8085,845700.0
2009-07-31,0.80847,0.83662,0.77032,0.83585,528402.0
2009-08-31,0.83601,0.84784,0.81562,0.82608,498403.0
2009-09-30,0.82595,0.88599,0.82406,0.86971,442772.0
2009-10-31,0.86966,0.93282,0.8569,0.89671,423912.0
2009-11-30,0.89678,0.94061,0.89068,0.92482,494511.0
2009-12-31,0.9247,0.93221,0.87349,0.89775,353781.0
2010-01-31,0.8977,0.933,0.87784,0.89134,427144.0
2010-02-28,0.8913,0.90713,0.85785,0.90096,424833.0
2010-03-31,0.9009,0.92519,0.89568,0.92108,392215.0
2010-04-30,0.9212,0.9389,0.91357,0.92431,288270.0
2010-05-31,0.92325,0.92748,0.8067,0.8312,780584.0
2010-06-30,0.83106,0.88594,0.80822,0.84338,639913.0
2010-07-31,0.8433,0.90689,0.83174,0.90561,457992.0
2010-08-31,0.90552,0.92218,0.87709,0.91162,443950.0
2010-09-30,0.91158,0.97505,0.9054,0.97275,382925.0
2010-10-31,0.97279,1.00024,0.95419,0.98714,464337.0
2010-11-30,0.9871,1.01829,0.95375,0.96834,564608.0
2010-12-31,0.96826,1.02568,0.96234,1.02324,383931.0
2011-01-31,1.02305,1.02563,0.98044,1.01106,421254.0
2011-02-28,1.011,1.02024,0.99439,1.01338,325472.0
2011-03-31,1.01334,1.03971,0.97064,1.0384,436024.0
2011-04-30,1.0384,1.09777,1.02888,1.09747,341379.0
2011-05-31,1.09747,1.10119,1.04412,1.06146,641053.0
2011-06-30,1.0614,1.079,1.03908,1.07697,526714.0
2011-07-31,1.07697,1.10802,1.05256,1.09706,463214.0
2011-08-31,1.09702,1.10071,0.99282,1.07217,797315.0
2011-09-30,1.07214,1.07336,0.96225,0.96617,682903.0
2011-10-31,0.96617,1.07532,0.93879,1.03296,859648.0
2011-11-30,1.03298,1.04462,0.96639,1.02432,778485.0
2011-12-31,1.0243,1.03801,0.98616,1.02213,471142.0
2012-01-31,1.02222,1.074,1.01458,1.07052,449833.0
2012-02-29,1.07048,1.08566,1.05976,1.0809,450379.0
2012-03-31,1.08086,1.08176,1.0305,1.04497,397139.0
2012-04-30,1.04504,1.04742,1.02264,1.03338,334547.0
2012-05-31,1.03342,1.0355,0.95818,0.9699,412219.0
2012-06-30,0.9699,1.02686,0.9628,1.02641,448601.0
2012-07-31,1.02648,1.05424,1.01004,1.04614,405781.0
2012-08-31,1.0461,1.06135,1.02768,1.03227,287330.0
2012-09-30,1.03227,1.06244,1.01666,1.03612,297480.0
2012-10-31,1.03616,1.04113,1.01496,1.04006,286120.0
2012-11-30,1.04002,1.049,1.02876,1.04264,215628.0
2012-12-31,1.04264,1.05855,1.03452,1.03831,327419.0
2013-01-31,1.04129,1.05987,1.03614,1.04067,737697.0
2013-02-28,1.04067,1.0458,1.01824,1.02037,1272271.0
2013-03-31,1.02037,1.04972,1.01154,1.04234,1484604.0
2013-04-30,1.04234,1.05823,1.02212,1.02786,1323247.0
2013-05-31,1.02784,1.0323,0.95282,0.95711,1604271.0
2013-06-30,0.96225,0.97918,0.91132,0.92392,1999813.0
2013-07-31,0.92388,0.93188,0.89076,0.89257,1845211.0
2013-08-31,0.89256,0.92332,0.88482,0.89007,1408071.0
2013-09-30,0.8945,0.95288,0.89248,0.93986,1205221.0
2013-10-31,0.93986,0.97578,0.9334,0.94388,1126135.0
2013-11-30,0.94592,0.95434,0.90557,0.91083,1051101.0
2013-12-31,0.9129,0.91686,0.8821,0.89272,1001460.0
2014-01-31,0.8887,0.90864,0.86604,0.8755,1130259.0
2014-02-28,0.87681,0.90808,0.87305,0.89272,844445.0
2014-03-31,0.8896,0.93041,0.88907,0.92474,831574.0
2014-04-30,0.92453,0.94612,0.92058,0.92739,728257.0
2014-05-31,0.92729,0.94092,0.92025,0.93095,653555.0
2014-06-30,0.931,0.95051,0.92286,0.94977,629303.0
2014-07-31,0.94972,0.94992,0.92757,0.93119,651365.0
2014-08-31,0.931,0.93744,0.92376,0.93328,218309.0
2014-09-30,0.93321,0.94021,0.86634,0.87384,238758.0
2014-10-31,0.87237,0.89114,0.86428,0.87973,354367.0
2014-11-30,0.87532,0.87958,0.84174,0.84878,355459.0
2014-12-31,0.84937,0.85427,0.80881,0.81622,256230.0
2015-01-31,0.81827,0.82952,0.77203,0.77691,331387.0
2015-02-28,0.77556,0.79132,0.76264,0.78106,290100.0
2015-03-31,0.78074,0.79382,0.75608,0.75996,372942.0
2015-04-30,0.7599,0.80756,0.7533,0.78504,347069.0
2015-05-31,0.78325,0.81634,0.75986,0.76062,303022.0
2015-06-30,0.76074,0.78488,0.75874,0.76453,300228.0
2015-07-31,0.76436,0.76576,0.7235,0.7303,269909.0
2015-08-31,0.73214,0.74394,0.70146,0.70186,324578.0
2015-09-30,0.70171,0.72794,0.69083,0.70302,256102.0
2015-10-31,0.7028,0.73822,0.70026,0.7137,240466.0
2015-11-30,0.71162,0.73361,0.70161,0.73232,215912.0
2015-12-31,0.73215,0.73853,0.7097,0.72938,203089.0
2016-01-31,0.72866,0.73014,0.68274,0.71148,351277.0
2016-02-29,0.71142,0.72594,0.69738,0.71744,311878.0
2016-03-31,0.71758,0.77232,0.7165,0.76775,337102.0
2016-04-30,0.76704,0.78346,0.74918,0.76054,295319.0
2016-05-31,0.75975,0.77197,0.71454,0.72572,279217.0
2016-06-30,0.72592,0.76476,0.72016,0.74984,344359.0
2016-07-31,0.74498,0.76761,0.74082,0.75356,254936.0
2016-08-31,0.75335,0.77558,0.74902,0.75513,243310.0
2016-09-30,0.75524,0.77323,0.74422,0.76595,246542.0
2016-10-31,0.76628,0.77346,0.75067,0.76524,223452.0
2016-11-30,0.76511,0.77783,0.7311,0.74144,361197.0
2016-12-31,0.74158,0.75248,0.71602,0.72012,207629.0
2017-01-31,0.7198,0.76092,0.71927,0.75858,306832.0
2017-02-28,0.75848,0.77406,0.75777,0.76763,180941.0
2017-03-31,0.76768,0.77497,0.74912,0.7629,222272.0
2017-04-30,0.7634,0.76404,0.74402,0.75239,188688.0
2017-05-31,0.75228,0.75562,0.73294,0.73754,227998.0
2017-06-30,0.73742,0.77123,0.73728,0.76888,181394.0
2017-07-31,0.76847,0.80658,0.75712,0.7969,247005.0
2017-08-31,0.79674,0.79956,0.78076,0.79694,275111.0
2017-09-30,0.7946,0.81252,0.77997,0.78346,319716.0
2017-10-31,0.78359,0.78974,0.76254,0.76762,257694.0
2017-11-30,0.76782,0.77301,0.75322,0.76127,215460.0
2017-12-31,0.75956,0.78251,0.75014,0.78069,148876.0
2018-01-31,0.78067,0.81357,0.77937,0.8038,323249.0
2018-02-28,0.80418,0.8044,0.77126,0.77561,420432.0
2018-03-31,0.77561,0.79164,0.76428,0.76822,343612.0
2018-04-30,0.76917,0.78128,0.74726,0.74907,244356.0
2018-05-31,0.74884,0.76057,0.74126,0.75688,326262.0
2018-06-30,0.75688,0.7677,0.73236,0.7407,242763.0
2018-07-31,0.74128,0.74838,0.73107,0.74042,285491.0
2018-08-31,0.74042,0.7453,0.71762,0.71907,282247.0
2018-09-30,0.7194,0.7316,0.70854,0.72234,255160.0
2018-10-31,0.72234,0.72384,0.7021,0.72058,282508.0
2018-11-30,0.72068,0.73445,0.71642,0.73102,270573.0
2018-12-31,0.73785,0.73934,0.7017,0.70506,222146.0
2019-01-31,0.70506,0.7295,0.67268,0.72488,196039.0
2019-02-28,0.72477,0.72646,0.70542,0.70802,154296.0
2019-03-31,0.71112,0.71682,0.70034,0.71126,138567.0
2019-04-30,0.71096,0.72056,0.69884,0.7014,120396.0
2019-05-31,0.70147,0.70483,0.6865,0.69368,140754.0
2019-06-30,0.693,0.70348,0.68318,0.69652,130797.0
2019-07-31,0.69658,0.70822,0.67956,0.68018,102012.0
2019-08-31,0.68001,0.68222,0.66774,0.67358,141500.0
2019-09-30,0.67286,0.68948,0.66722,0.67038,103607.0
2019-10-31,0.67042,0.69296,0.66708,0.69138,116888.0
2019-11-30,0.69136,0.6928,0.67544,0.67618,85831.0
2019-12-31,0.67691,0.7032,0.67617,0.70165,80083.0
2020-01-31,0.70162,0.702,0.6683,0.6687,113557.0
2020-02-29,0.66846,0.67742,0.64339,0.65099,139935.0
2020-03-31,0.64661,0.6685,0.55084,0.60725,962402.0
2020-04-30,0.60725,0.657,0.59803,0.6419,404630.0
2020-05-31,0.64134,0.68034,0.6373,0.67976,312109.0
2020-06-30,0.67979,0.70644,0.6775,0.69151,504275.0
2020-07-31,0.69162,0.72272,0.69019,0.7143,302496.0
2020-08-31,0.71427,0.74138,0.70766,0.73724,273487.0
2020-09-30,0.73708,0.73815,0.7006,0.71826,295176.0
2020-10-31,0.71832,0.72434,0.70026,0.70284,217178.0
2020-11-30,0.7025,0.74076,0.69913,0.7372,317162.0
2020-12-31,0.73703,0.77422,0.73516,0.76926,207795.0
2021-01-31,0.77046,0.78201,0.7592,0.76212,338124.0
2021-02-28,0.76232,0.80072,0.75638,0.77732,256628.0
2021-03-31,0.77721,0.78494,0.75321,0.76172,350532.0
2021-04-30,0.76168,0.78181,0.75851,0.7712,201954.0
2021-05-31,0.77236,0.7891,0.76751,0.77524,252383.0
2021-06-30,0.77518,0.77755,0.74606,0.74738,211688.0
2021-07-31,0.74698,0.75992,0.72896,0.73438,223060.0
2021-08-31,0.73344,0.74267,0.71064,0.7367,191540.0
2021-09-30,0.7368,0.74782,0.71706,0.72599,248843.0
2021-10-31,0.72596,0.75556,0.7226,0.75225,216667.0
2021-11-30,0.75212,0.75319,0.70628,0.71079,229641.0
2021-12-31,0.71062,0.72774,0.69932,0.72685,177639.0
2022-01-31,0.72636,0.7314,0.69676,0.71294,247210.0
2022-02-28,0.71276,0.72899,0.7052,0.72542,1587258.0
2022-03-31,0.72516,0.75402,0.71652,0.74992,2220708.0
2022-04-30,0.749,0.76613,0.7055,0.7061,1666160.0
2022-05-31,0.70707,0.72496,0.6829,0.7175,2694797.0
2022-06-30,0.71748,0.7283,0.6764,0.68162,2106096.0
2022-07-31,0.68134,0.7047,0.66816,0.70255,1837673.0
2022-08-31,0.70218,0.71368,0.67712,0.67884,1810303.0
2022-09-30,0.6788,0.69162,0.63633,0.64041,2157535.0
2022-10-31,0.64062,0.65474,0.61702,0.63934,2641153.0
2022-11-30,0.63956,0.68456,0.62722,0.68118,2489476.0
2022-12-31,0.68108,0.68934,0.66292,0.68181,1915297.0
2023-01-31,0.68194,0.71448,0.6688,0.71368,2275784.0
2023-02-28,0.71372,0.71578,0.66951,0.6759,1918670.0
2023-03-31,0.676,0.6775,0.65644,0.6685,2014347.0
2023-04-30,0.66867,0.68064,0.6574,0.66304,1222509.0
2023-05-31,0.66341,0.68182,0.64583,0.65728,1353791.0
2023-06-30,0.65691,0.68999,0.65687,0.66591,1201868.0
2023-07-31,0.66637,0.68951,0.65992,0.66134,1199084.0
2023-08-31,0.66132,0.663,0.63646,0.64503,1332638.0
2023-09-30,0.64462,0.65112,0.63315,0.64328,879857.0
2023-10-31,0.64226,0.64452,0.62705,0.63928,1171069.0
2023-11-30,0.63933,0.66767,0.63386,0.66752,962933.0
2023-12-31,0.6669,0.68711,0.65255,0.68119,939096.0
2024-01-31,0.68116,0.68392,0.65082,0.65725,1204320.0
2024-02-29,0.65709,0.66104,0.64428,0.65247,841497.0
2024-03-31,0.65266,0.66677,0.64775,0.64901,777325.0
2024-04-30,0.64884,0.66444,0.63623,0.65232,934595.0
2024-05-31,0.6524,0.67141,0.65156,0.66536,744213.0
2024-06-30,0.66547,0.67043,0.65761,0.66592,852852.0
2024-07-31,0.66572,0.67986,0.64796,0.65016,1472620.0
2024-08-31,0.64981,0.68239,0.63484,0.67654,1789070.0
2024-09-30,0.6766,0.69426,0.66222,0.68832,1631652.0
2024-10-31,0.68896,0.69158,0.65369,0.65594,1847235.0
2024-11-30,0.66099,0.6688,0.64342,0.65142,2376055.0
2024-12-31,0.65134,0.6516,0.61792,0.61881,1743718.0
2025-01-31,0.61865,0.63308,0.61311,0.62108,1902894.0
2025-02-28,0.61596,0.64086,0.60878,0.62094,1762585.0
2025-03-31,0.62156,0.6391,0.6187,0.6278,1911515.0
2025-04-30,0.62779,0.64498,0.5914,0.63834,4045425.0
2025-05-31,0.63763,0.65376,0.63565,0.64319,1602252.0
2025-06-30,0.64346,0.65904,0.63726,0.6583,1782871.0
2025-07-31,0.65778,0.66253,0.6419,0.64688,1590788.0
2025-08-31,0.64677,0.65688,0.64146,0.65544,1073382.0
2025-09-30,0.6551,0.67071,0.64832,0.66134,1235179.0
2025-10-31,0.6614,0.66246,0.64404,0.65447,1528269.0
2025-11-30,0.65446,0.65804,0.64214,0.65437,1673377.0
2025-12-31,0.65447,0.6686,0.65367,0.66408,668994.0
