time,Open,High,Low,Close,Volume
2002-12-31,118.73,118.73,118.73,118.73,2.0
2003-01-31,120.03,120.435,117.7,119.88,27.0
2003-02-28,119.67,121.285,117.085,118.12,26.0
2003-03-31,118.19,121.7,116.825,118.065,29.0
2003-04-30,118.915,120.54,118.545,118.545,27.0
2003-05-31,119.05,119.64,115.45,119.64,26.0
2003-06-30,118.615,119.755,117.4,119.415,26.0
2003-07-31,118.115,120.545,117.68,120.14,27.0
2003-08-31,120.19,120.325,116.555,116.555,26.0
2003-09-30,116.595,117.475,110.675,110.675,26.0
2003-10-31,110.705,110.99,108.255,109.93,26.0
2003-11-30,109.86,111.175,108.075,109.345,26.0
2003-12-31,108.625,108.625,106.915,107.39,29.0
2004-01-31,106.94,107.255,105.635,105.68,52.0
2004-02-29,105.605,109.645,105.375,108.955,50.0
2004-03-31,110.105,112.06,103.715,103.715,54.0
2004-04-30,104.54,110.52,104.52,110.52,50.0
2004-05-31,110.43,114.505,108.695,110.615,54.0
2004-06-30,109.895,111.15,107.155,108.395,52.0
2004-07-31,108.32,112.005,107.92,111.045,52.0
2004-08-31,110.735,111.825,109.11,109.535,54.0
2004-09-30,109.475,111.385,109.345,110.53,52.0
2004-10-31,110.77,111.345,105.84,106.465,48.0
2004-11-30,106.165,107.155,102.555,102.665,52.0
2004-12-31,103.225,105.545,102.04,102.41,52.0
2005-01-31,102.54,105.185,101.694,103.68,711124.0
2005-02-28,103.68,106.848,103.36,104.387,652316.0
2005-03-31,104.387,107.786,103.67,107.55,861994.0
2005-04-30,107.595,108.9,104.62,105.01,810855.0
2005-05-31,105.03,108.84,104.214,108.75,796862.0
2005-06-30,108.75,111.79,106.51,111.79,953277.0
2005-07-31,111.79,113.718,109.875,112.226,954242.0
2005-08-31,112.226,112.635,109.06,109.82,1065244.0
2005-09-30,109.82,113.685,108.78,113.5,950116.0
2005-10-31,113.48,116.772,113.03,116.755,977013.0
2005-11-30,116.745,120.725,116.556,120.64,928346.0
2005-12-31,120.64,121.39,115.53,117.8,864419.0
2006-01-31,117.8,118.16,113.412,118.02,578128.0
2006-02-28,118.02,119.39,115.46,116.08,217409.0
2006-03-31,116.07,119.2,115.515,117.78,247282.0
