symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
AUD_JPY,74,47,63.5,51.78,51783.26,0.7
USD_CHF,80,49,61.3,45.86,45856.88,0.573
USD_JPY,81,47,58.0,42.47,42466.01,0.524
USD_CAD,115,63,54.8,40.23,40229.26,0.35
GBP_NZD,88,50,56.8,37.19,37194.77,0.423
GBP_JPY,79,45,57.0,36.57,36570.23,0.463
SPX500_USD,71,39,54.9,33.4,33403.49,0.47
CHF_JPY,75,42,56.0,33.24,33236.1,0.443
EUR_USD,86,46,53.5,32.11,32109.89,0.373
NAS100_USD,62,33,53.2,31.97,31970.54,0.516
XAU_USD,69,36,52.2,30.94,30939.15,0.448
AUD_CAD,95,53,55.8,28.3,28299.14,0.298
GBP_AUD,87,45,51.7,25.46,25457.85,0.293
GBP_CAD,69,38,55.1,24.84,24835.09,0.36
GBP_CHF,66,37,56.1,23.56,23557.1,0.357
GBP_USD,84,41,48.8,21.42,21423.31,0.255
EUR_NZD,74,37,50.0,20.93,20928.98,0.283
BTC_USD,135,55,40.7,19.05,19048.45,0.141
XAG_USD,62,28,45.2,17.54,17536.01,0.283
ETH_USD,118,47,39.8,13.42,13423.08,0.114
EUR_CAD,63,30,47.6,12.72,12721.09,0.202
EUR_JPY,84,38,45.2,12.17,12169.24,0.145
AUD_USD,92,44,47.8,11.84,11844.34,0.129
NZD_CHF,62,30,48.4,11.65,11653.77,0.188
EUR_GBP,71,36,50.7,10.01,10013.72,0.141
AUD_CHF,52,24,46.2,5.63,5630.83,0.108
CAD_JPY,81,35,43.2,4.25,4249.57,0.052
AUD_NZD,74,30,40.5,2.42,2423.49,0.033
CAD_CHF,57,23,40.4,1.21,1214.87,0.021
NZD_CAD,90,38,42.2,-1.3,-1298.03,-0.014
EUR_AUD,75,27,36.0,-4.29,-4288.84,-0.057
NZD_USD,91,34,37.4,-7.09,-7088.6,-0.078
EUR_CHF,88,36,40.9,-8.5,-8499.75,-0.097
NZD_JPY,76,26,34.2,-12.84,-12839.74,-0.169
TOTAL,2726,1329,48.8,648.17,648174.54,0.238
