Trade#,Symbol,Direction,Entry Date,Entry Price,Stop Loss Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,Exit Date,Exit Price,TP1 Hit?,TP2 Hit?,TP3 Hit?,TP4 Hit?,TP5 Hit?,SL Hit?,Final Exit Reason,R Multiple,Profit/Loss USD,Confluence Score,Holding Time (hours),Lot Size,Risk Pips,ADX Value,Validation Notes
1,GBP_NZD,BEARISH,2023-01-01 22:00:00+00:00,1.91768,1.9394148417388353,1.904639094956699,1.8915981899133978,1.8742103165223296,1.8633428956529121,1.8416080539140767,2023-01-18 22:00:00+00:00,1.9366872670606217,Yes,No,No,No,No,No,TP1+Trail,-0.87,-961.96,15,408.0,0.51,217.3,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
2,NZD_CAD,BEARISH,2023-01-01 22:00:00+00:00,0.86688276,0.8801667819166925,0.8589123468499844,0.850941933699969,0.8403147161666149,0.8336727052082686,0.8203886832915761,2023-01-03 22:00:00+00:00,0.8535516967683059,Yes,Yes,No,No,No,No,TP2+Trail,1.0,1103.9,14,48.0,0.83,132.8,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
3,NZD_CAD,BEARISH,2023-01-01 22:00:00+00:00,0.865286,0.8802005832083574,0.8563372500749856,0.8473885001499711,0.8354568335832853,0.8279995419791066,0.8130849587707492,2023-01-03 22:00:00+00:00,0.8502265417991411,Yes,Yes,No,No,No,No,TP2+Trail,1.01,1110.69,14,48.0,0.74,149.1,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
4,EUR_JPY,BEARISH,2023-01-01 22:00:00+00:00,140.03824999999998,143.06716116664973,138.22090330001012,136.40355660002027,133.98042766670048,132.46597208337562,129.43706091672584,2023-02-14 22:00:00+00:00,142.65753537998577,Yes,No,No,No,No,No,TP1+Trail,-0.86,-951.24,14,1056.0,0.01,302.9,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
5,EUR_USD,BEARISH,2023-01-02 22:00:00+00:00,1.0540043000000001,1.0782175288660256,1.039476362680385,1.0249484253607695,1.005577842267949,0.9934712278349364,0.9692579989689108,2023-01-11 22:00:00+00:00,1.0789675288660256,No,No,No,No,No,Yes,SL,-1.03,-1134.07,15,216.0,0.45,242.1,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
6,EUR_USD,BULLISH,2023-01-02 22:00:00+00:00,1.05663868,1.044789968913511,1.0637479066518936,1.070857133303787,1.0803361021729783,1.086260457716223,1.0981091688027118,2023-01-12 22:00:00+00:00,1.0808302168370596,Yes,Yes,Yes,Yes,No,No,TP4+Trail,2.04,2245.87,15,240.0,0.93,118.5,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
7,GBP_CHF,BEARISH,2023-01-02 22:00:00+00:00,1.1258235,1.1386772654880566,1.1181112407071663,1.1103989814143322,1.100115969023887,1.0936890862798587,1.0808353207918024,2023-01-19 22:00:00+00:00,1.1373706630099676,Yes,No,No,No,No,No,TP1+Trail,-0.9,-988.18,15,408.0,0.86,128.5,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
8,CAD_JPY,BEARISH,2023-01-02 22:00:00+00:00,96.751292,98.09457892678688,95.94531984392788,95.13934768785576,94.06471814642626,93.39307468303282,92.04978775624595,2023-01-03 22:00:00+00:00,98.16957892678688,No,No,No,No,No,Yes,SL,-1.06,-1161.42,15,24.0,0.01,134.3,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
9,USD_CHF,BULLISH,2023-01-02 22:00:00+00:00,0.93620296,0.9172831759199154,0.9475548304480508,0.9589067008961016,0.9740425281601693,0.9835024202002116,1.0024222042802964,2023-01-08 22:00:00+00:00,0.9165331759199153,No,No,No,No,No,Yes,SL,-1.04,-1143.61,15,144.0,0.54,189.2,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
10,USD_CAD,BULLISH,2023-01-02 22:00:00+00:00,1.36319808,1.3526331749415959,1.3695370230350425,1.3758759660700852,1.3843278901168086,1.3896103426460107,1.400175247704415,2023-01-03 22:00:00+00:00,1.3518831749415958,No,No,No,No,No,Yes,SL,-1.07,-1178.09,15,24.0,1.42,105.6,0.0,Regime-Adaptive V2: Trend (ADX >= threshold) + Conservative Range (ADX < threshold)
