Month,Trades,Wins,Win Rate %,Total R,Profit USD,Challenges
April 2024,38,26,68.4,+5.6,"$+5,560.00",1
August 2024,23,17,73.9,+0.0,$+20.00,1
December 2024,6,5,83.3,+2.8,"$+2,825.00",1
February 2024,35,33,94.3,+22.6,"$+22,555.00",1
January 2024,39,36,92.3,+31.9,"$+31,865.00",1
July 2024,14,6,42.9,-1.6,"$-1,590.00",1
June 2024,22,20,90.9,+11.2,"$+11,245.00",1
March 2024,36,25,69.4,+1.5,"$+1,500.00",1
May 2024,23,22,95.7,+13.4,"$+13,420.00",1
November 2024,23,7,30.4,-11.1,"$-11,085.00",1
October 2024,23,18,78.3,+4.1,"$+4,080.00",1
September 2024,20,16,80.0,+4.0,"$+3,960.00",1
