Symbol,Trades,Wins,Win Rate %,Total R,Profit USD
XAG_USD,43,42,97.7,+39.4,"$+90,274.60"
CHF_JPY,45,45,100.0,+38.1,"$+89,858.26"
EUR_JPY,46,46,100.0,+37.3,"$+89,177.73"
XAU_USD,31,31,100.0,+29.1,"$+61,886.02"
GBP_JPY,39,37,94.9,+22.2,"$+53,502.07"
CAD_JPY,29,26,89.7,+14.4,"$+33,249.13"
EUR_GBP,21,21,100.0,+14.2,"$+32,897.12"
USD_JPY,36,28,77.8,+11.0,"$+26,986.64"
GBP_USD,8,8,100.0,+6.5,"$+13,724.26"
EUR_NZD,4,4,100.0,+3.8,"$+8,067.74"
EUR_USD,5,5,100.0,+3.3,"$+6,282.44"
GBP_AUD,7,6,85.7,+3.0,"$+6,086.32"
EUR_AUD,4,4,100.0,+2.8,"$+5,439.10"
GBP_NZD,4,4,100.0,+2.6,"$+6,163.04"
GBP_CAD,4,4,100.0,+2.2,"$+4,749.32"
NZD_USD,7,5,71.4,+2.0,"$+3,931.72"
BTC_USD,1,1,100.0,+0.7,"$+1,504.80"
ETH_USD,2,1,50.0,-0.3,$-546.56
NZD_CHF,1,0,0.0,-1.0,"$-1,710.00"
GBP_CHF,1,0,0.0,-1.0,"$-2,185.00"
USD_CAD,2,0,0.0,-2.0,"$-4,728.09"
